#Kestrel 4000 weather meter data gathered in Vonore, TN, USA, on 21 Aug 2017
#Data collected by Massey Bartolini
DT,WS,TP,WC,RH,HI,DP,WB,BP,AL,DA
s,mph,∞F,∞F,%,∞F,∞F,∞F,mb,ft,ft
556633743,0.0,97.9,97.9,47.9,113.7,74.8,80.4,992.5,697,3519
556634894,0.0,96.7,96.8,47.9,111.0,73.7,79.5,991.2,732,3480
556634899,0.0,96.7,96.6,47.7,110.5,73.6,79.5,990.9,740,3485
556634904,0.0,96.4,96.4,47.1,109.6,72.9,79.0,991.0,740,3460
556634909,0.0,94.8,94.8,46.3,105.1,71.0,77.4,991.1,734,3336
556634914,0.0,95.0,95.0,45.6,105.1,70.8,77.2,991.2,734,3349
556634919,0.0,95.5,95.5,45.5,106.2,71.1,77.5,992.1,709,3349
556634924,0.0,95.6,95.5,45.5,106.2,71.2,77.5,991.1,737,3393
556634929,0.0,95.9,95.9,45.5,107.1,71.5,77.9,990.9,740,3411
556634934,0.0,96.1,96.1,45.4,107.4,71.6,78.1,991.0,737,3421
556634939,0.0,96.4,96.4,46.0,108.7,72.2,78.4,990.9,743,3454
556634944,0.0,94.0,93.9,46.3,103.1,70.3,76.6,991.0,740,3280
556634949,0.0,93.4,93.4,46.9,102.4,70.1,76.5,991.1,737,3247
556634954,0.0,93.5,93.6,47.5,102.9,70.6,76.8,991.0,737,3262
556634959,0.0,92.8,92.8,48.1,101.8,70.3,76.5,991.3,732,3201
556634964,0.0,92.4,92.3,49.6,101.8,70.8,76.6,991.1,737,3191
556634969,0.0,93.0,93.0,50.7,104.0,72.0,77.5,991.1,734,3242
556634974,0.0,93.4,93.4,51.1,104.9,72.6,78.1,991.1,734,3267
556634979,0.0,94.0,94.1,51.4,106.9,73.4,78.6,991.0,737,3318
556634984,0.0,94.6,94.6,51.8,108.5,74.2,79.3,990.9,743,3372
556634989,0.0,94.9,95.0,51.9,109.6,74.5,79.5,990.8,745,3400
556634994,0.0,95.1,95.2,51.3,109.6,74.3,79.5,990.8,745,3403
556634999,0.0,94.2,94.3,50.9,106.9,73.2,78.6,991.1,737,3331
556635004,0.0,92.0,91.9,50.6,101.5,71.1,76.6,991.1,737,3173
556635009,0.0,91.0,91.0,50.9,99.7,70.3,75.9,991.2,734,3100
556635014,0.0,91.1,91.0,51.5,100.0,70.7,76.3,991.1,737,3107
556635019,0.0,91.4,91.4,52.1,101.1,71.4,76.8,991.2,732,3133
556635024,0.0,90.9,90.9,52.8,100.4,71.3,76.5,991.4,729,3100
556635029,0.0,90.3,90.3,53.6,99.5,71.1,76.3,991.3,732,3064
556635034,0.0,90.1,90.1,54.0,99.1,71.3,76.3,991.4,729,3049
556635039,0.0,90.1,90.1,54.7,99.7,71.6,76.5,991.4,729,3051
556635044,0.8,89.6,89.6,55.0,98.6,71.3,76.1,991.2,732,3023
556635049,0.0,89.3,89.4,54.5,97.7,70.8,75.9,990.9,740,3013
556635054,0.0,89.3,89.2,53.7,97.0,70.3,75.6,991.3,732,2988
556635059,0.8,88.7,88.7,53.4,95.7,69.6,74.8,991.2,732,2947
